Gene_Name	Alias	Number_of_reads	Normalized_expression	Median	PolyA_class	25%_percentile	75%_percentile	MAX_polyA	MIN_polyA	RANGE_polyA	Mean	Geometric_mean	Standard_deviation	Fop	Codon_class
Y41C4A.8	WP:CE20248	257	0.413167512	66	short	43	96	231	13	218	73.28015564	63.96489715	38.77912255	0.461538462	moderate
Y41C4A.9	WP:CE20249	373	0.950574783	85	medium	53	124	230	11	219	89.15281501	77.59666836	43.6655056	0.403571429	moderate
F58A4.9	rpac-19	427	1.145635222	57	short	40.5	87	227	9	218	67.31147541	58.41668459	37.17052211	0.323741007	poor
F58A4.8	tbg-1	569	1.559827805	71	medium	48	106	189	15	174	77.42355009	68.74608499	36.44976138	0.440191388	moderate
W06B11.1	atat-2	458	1.246746751	96	long	56.5	133	231	7	224	97.42576419	82.45452722	49.83654453	0.387096774	poor
E02D9.1	WP:CE08610	1653	3.098413972	62	short	42	93	231	6	225	74.54688445	62.95645382	44.90854871		
Y48D7A.2	flp-18	489	1.341233618	67	short	35	109	231	13	218	75.91002045	63.66199388	44.35149714	0.412935323	moderate
F32D8.4	WP:CE35182	253	0.390536537	85	medium	55	119	231	6	225	87.82608696	75.33131366	42.99270771	0.333333333	poor
F32D8.5	WP:CE23699	420	1.12178848	74	medium	52	99	231	5	226	77	69.30416827	33.36079821	0.344925517	poor
ZC376.6	WP:CE15203	386	1	93	medium	61.5	129	231	9	222	98.67098446	85.9033411	47.40721002	0.305381344	poor
D1053.4	WP:CE34780	167	-0.208752745	91	medium	67.5	125	231	11	220	94.68263473	83.11332475	42.74630492	0.347107438	poor
ZC376.7	atfs-1	1740	3.172414553	92	medium	59	129	231	8	223	95.74770115	82.90231043	46.74096041	0.407981021	moderate
C31H2.4	WP:CE04132	274	0.505575046	71	medium	41.5	99	231	5	226	74.62773723	63.11589503	39.99078494	0.327635328	poor
R07B5.3	sru-40	127	-0.60377235	79	medium	45	113	231	11	220	84.07086614	70.4445013	48.45798263	0.275916988	poor
C31H2.1	tbc-7	267	0.468238894	92	medium	64	123	231	13	218	94.72659176	84.98969133	41.22456275	0.35761785	poor
C31H2.2	dpy-8	1116	2.531664275	100	long	79	126	231	11	220	108.7114695	98.41011768	48.45292114	0.56612529	moderate
C31H2.3	WP:CE35417	65	-1.570089224	69	short	50	98	231	25	206	79.93846154	69.02325714	45.82034379	0.432432432	moderate
F55B12.1	ceh-24	13	-3.892017319	109	long	88.5	151	231	21	210	110.6153846	88.99579324	62.0527548	0.349480969	poor
ZC376.2	WP:CE47433	440	1.188902676	73	medium	49.5	103	231	18	213	80.94090909	70.42338645	43.64855677	0.324166534	poor
F55B12.3	sel-10	412	1.09404349	89	medium	59	127.5	231	16	215	97.54368932	83.55638175	50.8948138	0.372970937	poor
H34I24.2	WP:CE26681	3386	4.132909221	55	short	38	78	231	5	226	62.98464265	55.68589901	33.68141103	0.438053097	moderate
F55B12.4	hpo-31	400	1.051399153	62	short	41	89	231	14	217	67.46	58.79556322	35.77343148	0.35645933	poor
H34I24.1	WP:CE19501	42	-2.200139614	83	medium	69	96	142	28	114	81.33333333	77.49174492	23.05858653	0.351778656	poor
F35G12.10	asb-1	1493	2.951541413	69	short	49	91	231	6	225	73.97990623	67.0188751	33.23261696	0.546712803	moderate
F35G12.11	WP:CE36485	655	1.762894059	75	medium	51	97	231	14	217	76.11450382	69.13340628	32.08410732	0.485714286	moderate
F53G12.9	WP:CE49290	37	-2.383003672	73	medium	59	104.5	161	24	137	80	72.28827656	35.44314061	0.434212872	moderate
F08F3.7	cyp-14A5	292	0.597367522	74.5	medium	50	96	231	13	218	76.87671233	68.09844521	37.31913285	0.338329764	poor
F36G9.12	oac-20	144	-0.422532036	67	short	36	90.5	231	15	216	68.03472222	57.79116154	38.36002933	0.372434018	poor
F53G12.1	rab-11.1	7914	5.357734313	83	medium	60	111	231	5	226	87.25044225	78.41847882	38.44065958	0.516908213	moderate
F53G12.6	spe-8	16	-3.592457037	73	medium	48.5	100	217	29	188	80.6875	71.05928109	43.96123114	0.455823293	moderate
F53G12.7	col-45	11	-4.133025419	110	long	67.5	140.5	177	31	146	103.1818182	89.57306922	49.00801081	0.54702946	moderate
F53G12.5	mex-3	90	-1.100603941	48.5	short	30	88	210	14	196	62.72222222	50.90054011	41.32823296	0.504119497	moderate
C48A7.2	pitr-1	1526	2.98308221	84	medium	57.5	118	231	5	226	90.73263434	79.29763226	44.81109991	0.492513796	moderate
W09G12.9	WP:CE18348	143	-0.4325857	91	medium	56	121	197	12	185	90.87412587	78.56636026	43.57629225	0.503759398	moderate
K07B1.3	ucp-4	137	-0.494424954	98	long	73.5	120	204	22	182	98.22627737	91.42827705	35.6534399	0.360927152	poor
ZK673.11	WP:CE45731	10	-4.270528942	91.5	medium	69	131.5	221	19	202	101.4	85.28362377	54.12430138	0.330960083	poor
F43G9.12	WP:CE46019	624	1.692945182	85	medium	62	111	231	5	226	87.54647436	78.69954951	36.97770145	0.298032947	poor
F43G9.13	WP:CE27163	631	1.709039158	82	medium	55	104	231	11	220	82.38510301	74.21106094	35.03625969	0.323076923	poor
F43G9.10	mfap-1	580	1.587452053	69	short	42	100	231	8	223	74.92241379	64.80788473	39.30424011	0.335526316	poor
W06B11.2	puf-9	208	0.107982681	82.5	medium	60.5	113.5	231	17	214	88.67788462	79.42395762	39.43113631	0.423476969	moderate
W01B11.2	sulp-6	80	-1.270528942	89	medium	61	122	231	29	202	97.625	86.29672357	48.32064129	0.377525253	poor
W01B11.3	nol-5	6683	5.113823122	69	short	50	94	231	5	226	74.87745025	67.19662277	33.94752319	0.661733615	moderate
W01B11.5	pqn-72	56	-1.785102115	108	long	85.5	135.5	231	10	221	108.75	94.86412096	45.22453901	0.370670671	poor
W01B11.6	WP:CE26952	1401	2.859784203	99	long	72	131	231	9	222	102.7109208	91.87788112	44.68727025	0.448598131	moderate
F52E1.1	pos-1	150	-0.363638347	54	short	32	77.5	133	14	119	57.64	49.77113412	29.96671042	0.453125	moderate
F52E1.2	WP:CE35320	26	-2.892017319	61.5	short	47.5	73	164	33	131	66.30769231	60.75262776	30.41478541	0.333333333	poor
C35A5.7	dmsr-8	16	-3.592457037	110.5	long	72	141	207	30	177	109.75	99.19929658	45.13521353	0.347826087	poor
F52E1.5	WP:CE39506	17	-3.504994196	68	short	52	83.5	125	19	106	64.64705882	57.03915729	28.51406501	0.32388664	poor
Y75B8A.3	WP:CE47993	98	-0.977747193	101.5	long	73.5	132	231	13	218	104.8877551	94.59426782	45.17988596	0.393719807	poor
F52E1.8	pho-6	56	-1.785102115	84	medium	44.5	120.5	231	10	221	85.80357143	70.64995398	48.01986927	0.321937322	poor
F52E1.9	WP:CE35324	241	0.320432299	101	long	69.5	134	231	15	216	106.2074689	94.94358631	47.50084632	0.364197531	poor
F25D1.1	ppm-1	624	1.692945182	81	medium	52	113.5	231	11	220	87.19391026	74.62054815	45.91595473	0.387282515	poor
F25D1.3	WP:CE31917	271	0.489692004	99	long	72.5	125.5	230	14	216	100.8450185	91.42752952	40.41041711	0.301675978	poor
C39E9.12	WP:CE39690	947	2.294763578	61	short	41	91	231	11	220	67.79725449	59.72177955	33.81122001	0.468671679	moderate
C35A5.2	ugt-33	46	-2.068895081	70	short	54	107	169	15	154	79.7826087	69.34148037	38.69159725	0.318	poor
H03A11.1	WP:CE18799	309	0.679005991	101	long	71	122	231	8	223	96.96440129	87.56673821	36.98773559	0.403614458	moderate
C35A5.3	WP:CE41208	145	-0.412547947	93	medium	61	122	231	10	221	96.48275862	83.62823381	47.66103063	0.284064665	poor
H03A11.2	WP:CE47862	272	0.495005804	94	medium	65.5	116	231	13	218	93.72058824	83.9181332	40.57041649	0.395884774	poor
W09G12.7	WP:CE44215	56	-1.785102115	67.5	short	44.5	89	231	10	221	72.23214286	63.17295146	37.29802325	0.540983607	moderate
C36A4.6	cyp-25A4	84	-1.200139614	93.5	medium	68	125.5	231	16	215	100.1547619	90.02435428	45.37581012	0.300420168	poor
K07B1.1	try-5	10	-4.270528942	79	medium	66	99.5	222	25	197	92.4	80.39056389	50.7665244	0.307210031	poor
ZK669.3	WP:CE01114	144	-0.422532036	73	medium	42.5	93.5	166	11	155	71.3125	60.28268054	37.04060624	0.28	poor
ZK669.2	WP:CE16741	282	0.547094315	61	short	38	90	204	7	197	69.46808511	58.42252764	40.7489378	0.345381526	poor
ZK669.1	spv-1	18	-3.422532036	56	short	42.5	68.5	126	17	109	60.38888889	54.76183075	26.35049839	0.2529495	poor
F13B9.6	cutl-29	112	-0.785102115	83	medium	56	109.5	231	21	210	87.94642857	78.23518067	42.76510579	0.425925926	moderate
ZK669.5	WP:CE40184	264	0.451937082	111	long	78	140	231	11	220	111.8333333	101.4583723	44.07958826	0.263677967	poor
ZK669.4	WP:CE01115	1106	2.518678633	82	medium	56	108	231	13	218	85.24050633	75.82008462	39.72088452	0.443418014	moderate
B0379.4	scpl-1	528	1.451937082	99	long	64	137	231	6	225	102.2159091	86.83113301	52.05652134	0.334420626	poor
R10E4.5	nth-1	149	-0.373288517	97	long	55.5	142.5	231	13	218	101.5436242	83.87320401	57.88677716	0.324562139	poor
B0379.7	WP:CE23508	25	-2.948600847	82	medium	74	93.5	231	33	198	84.92	79.57759408	35.06327994	0.438423645	moderate
R10E4.3	WP:CE03557	68	-1.504994196	77.5	medium	56.5	96.5	231	20	211	79.97058824	72.68772848	36.1865959	0.301694915	poor
B0379.1	WP:CE20452	350	0.858754075	73.5	medium	51	102.5	220	15	205	80.23428571	70.37244096	39.93740776	0.465686275	moderate
B0379.2	WP:CE07725	33	-2.548062918	83	medium	54.5	94	106	21	85	73.27272727	69.14272534	22.27687036	0.373271889	poor
B0379.3	mut-16	493	1.352986799	103	long	77	123	231	7	224	100.5436105	91.68060649	38.3832048	0.337049852	poor
C35A5.8	WP:CE41987	378	0.969785387	73	medium	46	106.5	182	9	173	77.67195767	66.56035905	39.24719256	0.358851675	poor
R10E4.9	WP:CE03563	1047	2.43958869	58	short	36	89	231	13	218	73.12798472	59.70052766	51.11474488	0.463541667	moderate
C36A4.3	cyp-25A3	178	-0.116723606	104.5	long	68.5	140	231	6	225	104.6011236	88.31427855	52.25373917	0.296066253	poor
R04F11.2	WP:CE06233	9871	5.676523494	53	short	38	78	231	5	226	60.5288218	54.17049361	29.45250173	0.705882353	good
C41A3.2	WP:CE47266	56	-1.785102115	95	long	60.5	148.5	231	28	203	101.9821429	88.21392994	52.27622072	0.292281476	poor
D2007.4	mrpl-18	1156	2.582468645	55	short	36	86	231	7	224	63.05536332	53.83444665	34.84014976	0.397590361	poor
D2007.5	atg-13	498	1.367544895	82	medium	51	109	230	5	225	82.60240964	71.44260813	39.82081546	0.341121495	poor
R04F11.3	WP:CE29598	391	1.01856776	67	short	45	101	231	14	217	75.34782609	65.34205897	40.79882325	0.325396825	poor
D2007.1	WP:CE00126	227	0.23409145	64	short	36	89	231	9	222	70.04845815	57.45623449	45.6039485	0.381818182	poor
D2007.2	WP:CE00127	87	-1.149513541	108	long	69	136.5	231	11	220	106.5517241	93.79141164	46.39231967	0.436170213	moderate
T08G5.10	mtl-2	3500	4.180682169	53	short	31	87	231	7	224	62.77428571	52.84378164	37.52007343	0.677419355	moderate
F10F2.4	lron-5	29	-2.734476042	101	long	70.5	124	231	15	216	100.7586207	85.22148584	50.62005543	0.326018809	poor
F40A3.3	WP:CE50258	1384	2.84217119	73	medium	46	100	231	11	220	76.25072254	66.4867297	38.08188241	0.679141151	moderate
F10F2.7	clec-151	63	-1.615177114	80	medium	60.5	98	217	23	194	80.55555556	74.6114519	31.83926785	0.359570662	poor
F28B4.3	WP:CE07153	6476	5.068430233	53	short	36	75	231	5	226	60.07396541	53.35548532	32.57176609	0.476212471	moderate
F10F2.1	sel-2	1488	2.946701774	86	medium	55	117	231	5	226	87.88709677	76.81575243	41.22438136	0.35153019	poor
F10F2.2	WP:CE44312	293	0.602299817	66	short	42	95.5	231	18	213	74.50170648	64.58341062	40.89457223	0.356025039	poor
F01D5.10	WP:CE18567	52	-1.892017319	68	short	35.5	101.5	154	16	138	70.36538462	58.2022767	40.34039245	0.422155689	moderate
C34C6.10	WP:CE45553	23	-3.068895081	100	long	93.5	129	185	50	135	108.4782609	103.8639486	31.29782541	0.449275362	moderate
T08G5.12	ins-10	49	-1.977747193	61	short	38	91	163	21	142	67.34693878	58.88128885	34.72724686	0.407407407	moderate
F10F2.9	pqn-29	13	-3.892017319	69	short	58	96.5	108	26	82	71.61538462	66.54556347	25.05851141	0.404214559	moderate
F57C9.1	WP:CE44115	797	2.045978877	76	medium	53	104	231	8	223	81.13676286	72.55791829	37.22113532	0.421831555	moderate
F57C9.7	tofu-4	212	0.135463417	87	medium	67.5	107	162	11	151	86.71226415	80.61090788	28.88260625	0.376558603	poor
F57C9.6	WP:CE36651	46	-2.068895081	83.5	medium	47.5	123.5	231	9	222	89.23913043	70.97030673	54.28475035	0.297520661	poor
F57C9.5	htp-3	585	1.599835777	90	medium	65.5	112	231	10	221	90.63418803	82.18439415	36.96770862	0.380359613	poor
F57C9.4	WP:CE28475	289	0.582468645	90	medium	55.5	120	231	18	213	93.26297578	81.68131504	44.84020123	0.303010774	poor
C43D7.5	sdz-6	47	-2.037868186	51	short	38	72.5	106	13	93	56.08510638	51.24034755	22.2985829	0.413793103	moderate
C17F4.6	gcy-19	12	-4.007494537	86.5	medium	54	157.5	183	25	158	98.25	81.95335153	53.11955854	0.381882771	poor
F44D12.4	gipc-2	371	0.942818339	59	short	44	69.5	176	10	166	59.38274933	55.23611923	22.4019667	0.468468468	moderate
F44D12.6	WP:CE03330	41	-2.234905033	70	short	58	81.5	160	17	143	67.95121951	63.05765011	24.94379166	0.310469314	poor
F44D12.1	magu-4	241	0.320432299	121	long	82.5	170.5	231	11	220	128.4813278	110.2217593	62.58571437	0.304435793	poor
F44D12.3	msd-1	171	-0.174604522	51	short	39	65.5	148	15	133	56.40350877	52.40512533	22.56260399	0.603773585	moderate
F44D12.2	WP:CE23727	762	1.98119015	66	short	43	93.5	231	7	224	73.03018373	63.55642352	38.85500852	0.376506024	poor
R05G6.9	WP:CE35359	44	-2.133025419	89.5	medium	60.5	124.5	231	20	211	96.40909091	84.98914709	46.78544751	0.386920981	poor
C26B9.5	WP:CE04098	1834	3.248320886	51	short	34	80.5	231	5	226	61.35005453	53.04406355	34.84711323	0.433537832	moderate
F44D12.9	ent-7	375	0.958289748	80	medium	45	117	231	12	219	85.68266667	71.11117403	49.53698248	0.336950934	poor
F44D12.8	WP:CE43902	53	-1.864536583	85	medium	55	106	165	13	152	84.54716981	73.73839784	38.99422601	0.363636845	poor
C11D9.1	tiam-1	154	-0.325670497	120	long	85	159	231	9	222	125.1818182	107.7914443	56.87391552	0.343822844	poor
T05G5.9	WP:CE34089	102	-0.920031695	90.5	medium	56	117.5	231	24	207	91.12745098	80.73146786	43.09944533	0.308823071	poor
T12B5.8	fbxa-59	162	-0.252607034	98	long	65	135	231	12	219	100.5679012	87.8641506	45.32201337	0.278145695	poor
T12B5.6	fbxa-55	402	1.058594654	113	long	83	145.5	231	17	214	116.9079602	106.743765	47.17627562	0.299352751	poor
T12B5.4	fbxa-11	45	-2.100603941	71	medium	43.5	113.5	227	17	210	80.97777778	67.30274724	47.94371185	0.305263158	poor
T12B5.2	fbxa-54	98	-0.977747193	100	long	72	135.5	231	11	220	107.377551	92.85067733	52.9744866	0.264615385	poor
T12B5.1	fbxa-51	85	-1.183066101	93	medium	76	108.5	231	21	210	95.54117647	88.89435653	36.55987931	0.272425249	poor
K04C1.2	WP:CE06086	79	-1.288676289	102	long	56	130.5	231	10	221	95.18987342	81.25636548	46.22100896	0.37094618	poor
T28D6.5	WP:CE47494	174	-0.149513541	89.5	medium	64	127.5	231	9	222	98.67241379	83.35556562	52.64565605	0.451724463	moderate
K04C1.4	mlc-6	45	-2.100603941	54	short	37	88.5	145	19	126	61.4	53.56871131	31.75839347	0.328467153	poor
R05G6.4	WP:CE07417	328	0.765094967	81	medium	60	101	207	11	196	81.67073171	74.20492025	32.36163977	0.366336634	poor
R05G6.7	vdac-1	26244	7.087242969	55	short	37	79	231	5	226	62.00251486	54.33714071	32.95083228	0.748201439	good
ZK863.7	rnp-1	1288	2.738459841	81	medium	49	135	231	5	226	95.36490683	78.83080318	56.74930222	0.329047619	poor
ZK863.6	dpy-30	5732	4.892365857	61	short	41	88	231	5	226	67.25785066	59.08692216	33.63844775	0.553719008	moderate
C04F6.4	unc-78	790	2.033251806	59	short	36	88	231	10	221	66.16708861	56.22545051	37.0525447	0.447771602	moderate
R05G6.6	glt-6	158	-0.288676289	68.5	short	46	91	185	18	167	71.57594937	64.15859505	32.0934739	0.341085271	poor
ZK863.3	elpc-3	347	0.846334815	82	medium	57	105	231	19	212	83.29971182	76.04670834	34.0294342	0.339658444	poor
T12C9.5	nhr-109	126	-0.615177114	105.5	long	69.5	138	231	7	224	104.8253968	92.53907492	45.58370625	0.361164846	poor
T12C9.6	nhr-16	77	-1.325670497	102	long	69.5	143	231	10	221	105.3636364	90.11400468	50.16334593	0.324324324	poor
T12C9.7	WP:CE41930	161	-0.261540159	102	long	65.5	135	223	22	201	101.4409938	91.66612195	42.03235144	0.318801313	poor
C32E8.10	unc-11	330	0.773865177	71	medium	48	113	231	10	221	81.66363636	69.17297952	44.86780798	0.431972848	moderate
T12C9.1	nhr-273	43	-2.166192283	97	long	64.5	125.5	231	19	212	99.1627907	86.02691976	48.0856456	0.327777778	poor
T12C9.3	twk-2	51	-1.920031695	114	long	76	148	231	16	215	116.0588235	100.6946313	53.24726331	0.342005076	poor
F28A10.4	WP:CE19409	10	-4.270528942	71.5	medium	61	83	138	35	103	78.7	72.5019211	32.48091747	0.323943662	poor
F28A10.5	WP:CE19410	14	-3.785102115	49.5	short	37.5	76	105	23	82	57.21428571	51.25321456	26.3850027	0.435087719	moderate
F28A10.6	acdh-9	2109	3.449886343	66	short	47.5	86	231	11	220	68.50877193	61.75985129	30.37331413	0.475452196	moderate
F28A10.1	WP:CE48286	35	-2.46317402	78	medium	63.5	94.5	117	19	98	77.05714286	72.37696859	23.21076457	0.319727891	poor
F21G4.1	WP:CE40609	334	0.791247255	83	medium	47.5	123	231	11	220	91.88922156	74.94909167	54.69115521	0.349917081	poor
T28D6.2	tba-7	139	-0.473515965	77	medium	47	104.5	231	10	221	78.57553957	67.50859989	39.88291829	0.427570093	moderate
T09B9.3	WP:CE34091	38	-2.344529524	48.5	short	34.5	64.5	147	23	124	54.65789474	49.23075831	27.59030752	0.40952381	moderate
T09B9.2	slc-17.9	20	-3.270528942	105.5	long	84.5	140	231	48	183	114.85	106.5814908	45.00808261	0.372469636	poor
T09B9.1	WP:CE36409	151	-0.354052298	79	medium	55	111.5	231	9	222	84.70198676	75.31335583	39.39791817	0.42962963	moderate
F21G4.3	WP:CE43019	10	-4.270528942	96.5	long	76.5	103	110	52	58	88.5	85.90291765	19.9812412	0.291176471	poor
F22G12.8	WP:CE39573	22	-3.133025419	128.5	long	99.5	145	217	31	186	126.7727273	117.3238591	44.60730863	0.322033898	poor
T09B9.4	WP:CE01652	197	0.029594782	83	medium	57.5	113.5	231	18	213	84.59390863	75.75912076	36.65974103	0.496062992	moderate
F22G12.4	WP:CE46473	128	-0.592457037	83	medium	55.5	107.5	231	8	223	83.015625	72.34804678	37.99567911	0.40317255	moderate
F22G12.5	WP:CE50341	235	0.284059909	121	long	86	156.5	231	15	216	122.2382979	108.6029021	52.54755315	0.403072263	moderate
F22G12.1	WP:CE39571	22	-3.133025419	106	long	71	125	140	21	119	96.5	88.0861591	34.39443665	0.318584071	poor
F47G9.1	WP:CE05883	1192	2.626711483	81	medium	60.5	107	231	11	220	84.95385906	77.66945529	34.46587241	0.505050505	moderate
F47G9.3	cutl-18	71	-1.442709918	110	long	76.5	141	231	32	199	116.2957746	104.9321553	51.87590674	0.316730524	poor
F47G9.4	WP:CE43062	34	-2.504994196	80.5	medium	55.5	118.5	231	14	217	86.26470588	72.03360267	45.93237281	0.304130163	poor
D1014.5	WP:CE07007	150	-0.363638347	98.5	long	63.5	123	231	13	218	101.9666667	88.45046574	52.01312868	0.290909091	poor
Y38F2AR.7	ppgn-1	478	1.308409771	89.5	medium	67	111.5	231	16	215	90.54811715	83.00597836	35.44765701	0.337047354	poor
C16A3.9	rps-13	67377	8.447511535	41	short	33	58	231	5	226	48.47036823	44.49249821	22.36260293	0.804195804	good
C16A3.8	thoc-2	453	1.230910203	61	short	46.5	88.5	217	10	207	68.26710817	60.4114347	32.9318877	0.347763348	poor
C16A3.7	nfx-1	485	1.3293839	83	medium	54	108.5	231	11	220	82.84123711	73.12946162	37.75724892	0.332720588	poor
C16A3.6	WP:CE04006	888	2.201958829	59	short	40	86	204	5	199	65.22072072	58.05395181	31.13387865	0.477272727	moderate
C16A3.5	WP:CE04005	12707	6.040878806	57	short	42	81	231	5	226	64.55559928	58.05685153	30.86418214	0.548387097	moderate
C16A3.4	WP:CE04004	1083	2.48836049	57	short	40	86.5	231	12	219	66.05170822	57.95550829	34.22397987	0.488950276	moderate
C16A3.3	let-716	324	0.747392966	93	medium	68	123.5	231	6	225	97.13580247	86.99263516	41.88284751	0.409970674	moderate
C16A3.2	WP:CE08188	206	0.09404349	94	medium	60.5	133.5	231	6	225	99.66019417	85.80653788	50.36344672	0.361111111	poor
C16A3.1	WP:CE27688	197	0.029594782	69	short	49	99	226	12	214	76.61928934	67.20396739	38.88290679	0.39709347	poor
T21H8.1	hlb-1	225	0.221324154	103	long	48	152.5	231	6	225	103.4711111	80.59291338	61.63779729	0.349354209	poor
F23D12.6	fipr-3	898	2.218114597	72	medium	44	95	231	13	218	74.47327394	65.17641312	37.63693423	0.567010309	moderate
F07B10.1	cln-3.1	60	-1.685566442	70	short	47	97.5	186	17	169	76.13333333	67.26063319	37.04117829	0.323891949	poor
F08F8.9	WP:CE27936	725	1.909380148	96	long	68	129	231	10	221	101.3434483	90.22693019	45.52349119	0.341033777	poor
F08F8.8	gos-28	148	-0.383003672	80	medium	61.5	112.5	215	16	199	87.86486486	77.82017666	40.54671124	0.325892857	poor
C33G3.1	dyc-1	98	-0.977747193	98.5	long	54	129.5	230	9	221	95.3877551	78.87924441	50.60987898	0.296937867	poor
Y79H2A.11	zyg-8	103	-0.90595651	92	medium	66	118	230	12	218	91.5631068	82.48630287	37.85656883	0.397402597	poor
C33G3.4	WP:CE08560	233	0.271729107	87	medium	56.5	123.5	230	18	212	91.58369099	79.97109669	43.34563247	0.363317757	poor
C34G6.4	pgp-2	887	2.200333257	103	long	74	122	231	6	225	99.17361894	91.01704622	36.07119452	0.3363047	poor
C34G6.5	cdc-7	190	-0.022601429	76	medium	54	106	223	18	205	81.21578947	72.98249604	36.25640797	0.314070352	poor
C34G6.6	noah-1	2973	3.945246711	88	medium	65	111	231	9	222	89.52404978	82.15245447	34.50813156	0.591718769	moderate
C34G6.7	stam-1	428	1.149009949	86	medium	56	108	231	5	226	85.48130841	75.05428755	39.08153622	0.335678943	poor
F08F8.5	numr-1	100	-0.948600847	71	medium	57	92	160	6	154	74.51	67.2974259	29.8035216	0.362637363	poor
C34G6.1	hpo-27	35	-2.46317402	83	medium	53	128	229	9	220	91.77142857	71.0425466	55.31369539	0.310223267	poor
C34G6.2	tyr-4	3072	3.992505463	79	medium	57	103	231	10	221	82.26627604	75.2820394	33.40406324	0.367088608	poor
C34G6.3	WP:CE08575	77	-1.325670497	71	medium	61	87	217	21	196	75.72727273	71.37215231	27.92366048	0.487179487	moderate
F21H7.12	WP:CE31910	12	-4.007494537	122.5	long	96	168	186	30	156	123.5	111.2627876	47.41922957	0.318435754	poor
F23C8.14	WP:CE49904	52	-1.892017319	51.5	short	37	71	166	8	158	56.98076923	50.62488629	28.5269713	0.271279853	poor
F23C8.13	WP:CE41641	43	-2.166192283	137	long	86.5	194	231	29	202	139.7674419	123.0530333	62.98092632	0.369039992	poor
C34F6.2	col-178	37	-2.383003672	70	short	55.5	91	116	27	89	72.72972973	68.29671585	24.26057713	0.732142857	good
H04M03.1	pck-3	55	-1.811097324	69	short	51	95	230	20	210	80.63636364	70.25123061	44.89355639	0.444630872	moderate
Y39H10A.6	WP:CE47927	178	-0.116723606	69	short	33.5	109	231	8	223	77.78651685	59.76592734	52.45039859	0.408385093	moderate
W06D4.1	hgo-1	1300	2.751838871	69	short	45	93	231	11	220	72.48692308	63.46261411	36.46379424	0.420289855	moderate
W06D4.2	spe-46	146	-0.402632478	53.5	short	38	71.5	228	14	214	60.46575342	53.36088811	34.57950228	0.471830986	moderate
W06D4.3	WP:CE16545	25	-2.948600847	72	medium	45.5	115	156	21	135	78	67.26864553	40.32170631	0.329545455	poor
W06D4.4	prmt-7	1002	2.376209756	74	medium	51	105	231	5	226	81.13373253	71.08937007	40.90754485	0.302287582	poor
W06D4.6	rad-54	252	0.384822886	76	medium	56	103	229	14	215	82.51984127	73.61729471	39.03269391	0.324494949	poor
Y39H10A.1	WP:CE26072	23	-3.068895081	83	medium	48	128	172	34	138	91.34782609	80.16207059	43.50273224	0.466666667	moderate
H04M03.3	WP:CE20922	30	-2.685566442	92.5	medium	77	119.5	187	48	139	102.7333333	96.43476761	36.78852478	0.440625	moderate
H04M03.4	glf-1	248	0.361739273	94	medium	74.5	115	231	13	218	95.125	88.73416391	33.15841285	0.575221239	moderate
M02B1.4	WP:CE43879	35	-2.46317402	68	short	49.5	98.5	196	26	170	76.57142857	67.89207263	39.10373436	0.498113208	moderate
C06E7.88	WP:CE49464	60	-1.685566442	95.5	long	68.5	121	231	16	215	97.45	86.30842978	45.74801453	0.380368098	poor
C42D4.18	WP:CE45639	24	-3.007494537	67.5	short	30.5	88	134	18	116	62.66666667	53.54162108	31.75382742	0.322981366	poor
ZK354.6	WP:CE15320	24	-3.007494537	73.5	medium	61.5	92	228	14	214	82.79166667	73.58183314	42.10698593	0.388101983	poor
ZK354.4	msp-113	103	-0.90595651	48	short	38.5	60	127	25	102	51.33980583	48.84251435	17.31577282	0.704918033	good
ZK354.5	msp-51	14	-3.785102115	60	short	54.5	65.5	82	31	51	58.5	56.85372965	12.94907608	0.696721311	moderate
ZK354.2	WP:CE15314	46	-2.068895081	97.5	long	75.5	130	231	36	195	110.5869565	100.2939052	49.96850142	0.486168251	moderate
ZK354.3	WP:CE15316	11	-4.133025419	81	medium	62	92.5	231	24	207	86.90909091	75.88086595	50.12974901	0.419672131	moderate
C02B8.6	WP:CE29656	74	-1.383003672	94.5	long	65	127	230	12	218	99.02702703	85.70249007	48.11191148	0.418461538	moderate
ZK354.8	WP:CE15324	33	-2.548062918	72	medium	38.5	110	228	13	215	79.60606061	63.79234477	51.07210553	0.409871245	moderate
F11E6.1	gba-3	80	-1.270528942	71	medium	39	112.5	231	18	213	82.4	67.28893748	52.35016714	0.307081716	poor
F11E6.3	WP:CE19783	20672	6.742933317	66	short	46	87	231	5	226	68.34389512	61.67706423	29.64066291	0.66180758	moderate
F11E6.4	WP:CE31167	53	-1.864536583	107	long	68.5	138.5	231	20	211	108.3584906	95.02643458	51.31813256	0.352774832	poor
F11E6.5	elo-2	12548	6.022712777	69	short	48	95	231	5	226	73.73206886	65.55663537	34.56381653	0.515625	moderate
F11E6.6	WP:CE35464	97	-0.992544195	67	short	41	99.5	231	17	214	76.40206186	64.35919491	44.68392081	0.361344538	poor
F11E6.7	WP:CE19787	498	1.367544895	80	medium	51	106.5	231	10	221	82.06626506	70.61838595	41.14073244	0.332995951	poor
T10F2.2	WP:CE02041	1520	2.977398571	82	medium	59	106	231	7	224	83.18618421	76.25125646	32.45521519	0.427586207	moderate
T10F2.3	ulp-1	490	1.344180902	77	medium	47	112.5	231	6	225	83.72244898	69.66362526	46.74219902	0.337278107	poor
